Category: All categories

Month,finance: (Worldwide),year: (Worldwide),popularity: (Worldwide)
2004-01,19,82,1
2004-02,20,36,1
2004-03,19,33,1
2004-04,19,32,1
2004-05,17,33,1
2004-06,18,30,1
2004-07,18,29,<1
2004-08,17,29,1
2004-09,18,33,1
2004-10,17,33,1
2004-11,17,34,1
2004-12,17,54,1
2005-01,18,46,1
2005-02,18,56,1
2005-03,18,32,1
2005-04,18,33,1
2005-05,17,32,1
2005-06,18,30,1
2005-07,18,28,<1
2005-08,18,30,<1
2005-09,19,33,1
2005-10,18,34,1
2005-11,17,35,1
2005-12,15,57,<1
2006-01,18,78,1
2006-02,18,34,1
2006-03,18,31,1
2006-04,19,30,1
2006-05,18,30,<1
2006-06,18,27,<1
2006-07,18,27,<1
2006-08,18,28,<1
2006-09,19,30,<1
2006-10,19,31,1
2006-11,18,33,<1
2006-12,16,51,<1
2007-01,19,55,<1
2007-02,20,46,<1
2007-03,19,29,<1
2007-04,19,30,1
2007-05,19,29,<1
2007-06,18,28,<1
2007-07,20,26,1
2007-08,21,27,<1
2007-09,20,30,<1
2007-10,21,30,<1
2007-11,21,32,<1
2007-12,18,52,<1
2008-01,22,48,<1
2008-02,20,50,<1
2008-03,21,31,<1
2008-04,21,32,<1
2008-05,19,31,<1
2008-06,20,29,<1
2008-07,21,29,<1
2008-08,19,30,<1
2008-09,25,32,<1
2008-10,28,32,<1
2008-11,23,35,<1
2008-12,22,56,<1
2009-01,21,52,<1
2009-02,23,36,<1
2009-03,24,33,<1
2009-04,23,33,<1
2009-05,21,33,<1
2009-06,22,35,<1
2009-07,23,32,<1
2009-08,23,33,<1
2009-09,24,35,<1
2009-10,23,36,<1
2009-11,21,37,<1
2009-12,19,61,<1
2010-01,21,48,<1
2010-02,22,44,<1
2010-03,22,36,<1
2010-04,23,37,<1
2010-05,22,37,<1
2010-06,21,35,<1
2010-07,20,36,<1
2010-08,21,36,<1
2010-09,21,37,<1
2010-10,20,37,<1
2010-11,20,40,<1
2010-12,19,68,<1
2011-01,20,58,<1
2011-02,20,46,<1
2011-03,21,38,<1
2011-04,20,40,<1
2011-05,20,37,<1
2011-06,19,38,<1
2011-07,19,37,<1
2011-08,23,37,<1
2011-09,21,37,<1
2011-10,20,40,<1
2011-11,18,42,<1
2011-12,16,73,<1
2012-01,18,68,<1
2012-02,20,45,<1
2012-03,19,41,<1
2012-04,18,44,<1
2012-05,19,44,<1
2012-06,18,43,<1
2012-07,17,41,<1
2012-08,18,43,<1
2012-09,19,47,<1
2012-10,18,49,<1
2012-11,17,51,<1
2012-12,16,79,<1
2013-01,18,64,<1
2013-02,19,56,<1
2013-03,18,46,<1
2013-04,19,48,<1
2013-05,19,46,<1
2013-06,18,43,<1
2013-07,18,45,<1
2013-08,18,45,<1
2013-09,19,46,<1
2013-10,20,47,<1
2013-11,17,47,<1
2013-12,16,83,<1
2014-01,18,76,<1
2014-02,19,49,<1
2014-03,19,46,<1
2014-04,18,47,<1
2014-05,18,46,<1
2014-06,18,46,<1
2014-07,18,46,<1
2014-08,18,47,<1
2014-09,19,50,<1
2014-10,19,62,<1
2014-11,17,62,<1
2014-12,17,98,<1
2015-01,18,79,<1
2015-02,19,65,<1
2015-03,19,51,<1
2015-04,19,52,<1
2015-05,17,50,<1
2015-06,18,53,<1
2015-07,19,51,<1
2015-08,19,51,<1
2015-09,19,51,<1
2015-10,19,54,<1
2015-11,17,55,<1
2015-12,16,94,<1
2016-01,18,77,<1
2016-02,18,67,<1
2016-03,17,51,<1
2016-04,18,54,<1
2016-05,17,51,<1
2016-06,18,52,<1
2016-07,16,52,<1
2016-08,16,49,<1
2016-09,18,54,<1
2016-10,16,53,<1
2016-11,17,57,<1
2016-12,15,100,<1
2017-01,17,89,<1
2017-02,18,59,<1
2017-03,18,56,<1
2017-04,17,56,<1
2017-05,18,55,<1
2017-06,17,54,<1
2017-07,17,53,<1
2017-08,18,51,<1
2017-09,19,54,<1
2017-10,19,55,<1
2017-11,18,58,<1
2017-12,20,96,<1
2018-01,22,77,<1
2018-02,19,69,<1
2018-03,20,55,<1
2018-04,19,55,<1
2018-05,18,53,<1
2018-06,17,55,<1
2018-07,18,54,<1
2018-08,19,53,<1
2018-09,18,56,<1
2018-10,19,55,<1
2018-11,18,61,<1
2018-12,16,97,<1
2019-01,19,84,<1
2019-02,19,69,<1
2019-03,18,57,<1
2019-04,18,59,<1
2019-05,19,59,<1
2019-06,19,57,<1
2019-07,19,56,<1
2019-08,23,56,<1
2019-09,20,58,<1
2019-10,21,58,<1
2019-11,20,60,<1
2019-12,19,97,<1
2020-01,21,96,<1
2020-02,25,64,<1
2020-03,30,61,<1
2020-04,26,60,1
2020-05,25,62,1
2020-06,26,59,1
2020-07,25,56,<1
2020-08,24,61,<1
2020-09,24,62,<1
2020-10,22,61,<1
2020-11,21,59,<1
2020-12,22,96,<1
2021-01,23,87,<1
